209197_at	209219_at	209510_at	209566_at	214703_s_at	disease.state.ch1
0.836960576311756	0.568703323388428	-0.173600024216746	0.279152570452813	0.935500242868032	hepatocellular carcinoma
0.813161042792295	0.51848409541988	0.0887268754938756	0.201780676247095	0.676191844913526	hepatocellular carcinoma
1.5808727565769	0.388077522949822	0.107235339285027	-1.10374369431826	0.295597584714038	hepatocellular carcinoma
0.848994534693732	-0.184691876415628	-0.508840139454076	-0.232688369797611	0.900769287413101	hepatocellular carcinoma
1.01356540871026	1.23341982545492	0.581690623419794	-0.764524768461079	1.41503161380144	hepatocellular carcinoma
0.961810730143748	1.78932258386542	1.06073592470155	-1.82930686043948	-0.255470751196837	hepatocellular carcinoma
0.668969980308983	1.47400507206288	0.423818595528012	-0.299902053083262	1.25210842928054	hepatocellular carcinoma
2.36847080302582	1.41089792906791	2.55584318223495	-0.163416578922554	1.26624604512505	hepatocellular carcinoma
-0.209162680614602	0.103995563127725	2.21215733310563	-1.38594937983972	1.49340158510257	hepatocellular carcinoma
-0.851141173117604	1.16965807294313	1.89029325445942	-2.01218281168718	0.77718828960849	hepatocellular carcinoma
-1.10574452521588	-0.0977959450217746	-0.715882150361935	-0.307284211905989	-0.668238829515404	Chronic hepatitis B
-1.89602928995104	-0.584310094648133	-1.08209592645849	0.0840631161643106	-2.12050419499848	Chronic hepatitis B
-1.33650217033327	-0.807114104025846	-0.787457250521932	0.953826140570681	0.0115300189073074	Chronic hepatitis B
-0.242032413461292	-1.46106901134046	-0.726454029320331	-0.461836548448633	-0.859018042883379	Chronic hepatitis B
0.28654117195862	0.506900756806445	-0.370489756395926	0.844250915848432	1.45369259589958	Chronic hepatitis B
-0.835237301500563	-1.47060959685173	0.267947344341331	-0.5354075599653	0.119951593940185	Chronic hepatitis B
0.623846965138583	-0.201307815853499	-0.238781337949581	0.309458275093484	-0.321683840081638	Chronic hepatitis B
0.45215960638106	0.819168066817791	-0.557411424581418	0.89447324577971	0.0715074655182193	Chronic hepatitis B
-1.36987403957288	-1.73222127254997	-1.76963137114822	-1.09856886292384	-2.08898014128441	Chronic hepatitis B
-1.16634430748521	-0.942743624768503	-0.365001692415828	0.432094458922762	-0.100564821028078	Chronic hepatitis B
0.0203511668858545	-0.775613922666267	-0.826718015918006	-0.132373221493343	-1.19416023494526	Chronic hepatitis B
-0.876631809661486	0.715721192675673	-1.19495303702355	-0.56082842648338	-0.780228868740308	Chronic hepatitis B
-0.278105430193833	0.335987318844513	0.176740582214302	1.58909722681209	-0.0692241685573597	healthy control
-0.0715167062872413	-1.78590853817152	0.196446441782928	0.997305423064723	-0.496570025704472	healthy control
0.268167020155733	-0.17207787600974	-0.00713130869180873	1.31696528815093	-0.749061137441891	healthy control
-0.650774323137042	-0.50695474876554	-0.407568088889889	1.35994341722375	-0.696618861914904	healthy control
0.145224407448556	-0.311922896335951	0.170380056780961	1.6256025934389	-0.268392678799711	healthy control
