Metric,Genes,AUC,Recall,Precision,F1-score,Train Accuracy,CV Accuracy,Test Accuracy
Highest AUC,201506_at + 221672_s_at,0.6915650406504065,0.5,0.3867924528301887,0.43617021276595747,0.7756653992395437,0.7721518987341772,0.7735849056603774
Highest Recall,221619_s_at + 35148_at,0.5528455284552846,0.5208333333333334,0.8904761904761904,0.4785026737967914,0.779467680608365,0.7784810126582279,0.7830188679245284
Highest Precision,221619_s_at + 35148_at,0.5528455284552846,0.5208333333333334,0.8904761904761904,0.4785026737967914,0.779467680608365,0.7784810126582279,0.7830188679245284
Highest F1-score,221619_s_at + 35148_at,0.5528455284552846,0.5208333333333334,0.8904761904761904,0.4785026737967914,0.779467680608365,0.7784810126582279,0.7830188679245284
Highest Train Accuracy,201506_at + 221619_s_at,0.6255081300813008,0.5,0.3867924528301887,0.43617021276595747,0.7832699619771863,0.7658227848101266,0.7735849056603774
Highest CV Accuracy,221619_s_at + 35148_at,0.5528455284552846,0.5208333333333334,0.8904761904761904,0.4785026737967914,0.779467680608365,0.7784810126582279,0.7830188679245284
Highest Test Accuracy,221619_s_at + 35148_at,0.5528455284552846,0.5208333333333334,0.8904761904761904,0.4785026737967914,0.779467680608365,0.7784810126582279,0.7830188679245284
