Metric,Genes,Train AUC,CV AUC,Test AUC,Recall,Precision,F1-score,Train Accuracy,CV Accuracy,Test Accuracy
Highest Train AUC,208703_s_at + 209109_s_at + 212146_at + 213521_at + 217092_x_at + 35685_at + 43544_at,0.8705897177419355,0.7230769230769231,0.7334558823529411,0.5551470588235294,0.7027027027027026,0.571830985915493,0.8928571428571429,0.8863636363636364,0.8947368421052632
Highest CV AUC,209109_s_at + 212146_at + 35685_at,0.7641129032258065,0.9794871794871796,0.8492647058823528,0.5,0.4473684210526316,0.4722222222222222,0.8821428571428571,0.8863636363636364,0.8947368421052632
Highest Test AUC,200082_s_at + 201254_x_at + 212146_at + 43544_at,0.8225806451612903,0.6820512820512821,0.9136029411764706,0.5625,0.9533333333333334,0.5866355866355866,0.8892857142857142,0.9090909090909091,0.9078947368421053
Highest Recall,200082_s_at + 208703_s_at + 212146_at,0.799773185483871,0.8974358974358976,0.7205882352941176,0.625,0.9594594594594594,0.6788732394366197,0.8964285714285715,0.9090909090909091,0.9210526315789473
Highest Precision,200082_s_at + 208703_s_at + 212146_at,0.799773185483871,0.8974358974358976,0.7205882352941176,0.625,0.9594594594594594,0.6788732394366197,0.8964285714285715,0.9090909090909091,0.9210526315789473
Highest F1-score,200082_s_at + 208703_s_at + 212146_at,0.799773185483871,0.8974358974358976,0.7205882352941176,0.625,0.9594594594594594,0.6788732394366197,0.8964285714285715,0.9090909090909091,0.9210526315789473
Highest Train Accuracy,200082_s_at + 201254_x_at + 208703_s_at + 217092_x_at + 43544_at,0.8472782258064516,0.7538461538461538,0.7591911764705882,0.5625,0.9533333333333334,0.5866355866355866,0.9071428571428571,0.8863636363636364,0.9078947368421053
Highest CV Accuracy,200082_s_at,0.6984627016129032,0.7333333333333334,0.8014705882352942,0.5625,0.9533333333333334,0.5866355866355866,0.8821428571428571,0.9090909090909091,0.9078947368421053
Highest Test Accuracy,200082_s_at + 208703_s_at + 212146_at,0.799773185483871,0.8974358974358976,0.7205882352941176,0.625,0.9594594594594594,0.6788732394366197,0.8964285714285715,0.9090909090909091,0.9210526315789473
