Metric,Genes,Train AUC,CV AUC,Test AUC,Recall,Precision,F1-score,Train Accuracy,CV Accuracy,Test Accuracy
Highest Train AUC,200082_s_at,1.0,0.688034188034188,0.7024802458296753,0.6006365232660228,0.6036392405063291,0.597326557666814,1.0,0.6153846153846154,0.6
Highest CV AUC,200082_s_at + 201254_x_at + 208703_s_at + 209109_s_at + 212146_at + 213521_at + 217092_x_at,1.0,0.9980276134122287,0.9860623353819139,0.9115452151009658,0.9166666666666667,0.9108714788732395,1.0,0.9615384615384616,0.9111111111111111
Highest Test AUC,200082_s_at + 209109_s_at + 217092_x_at + 35685_at + 43544_at,1.0,0.9667981591058514,0.9862818261633012,0.918459174714662,0.9186429512516469,0.9185006311398936,1.0,0.8846153846153846,0.9185185185185185
Highest Recall,200082_s_at + 208703_s_at + 209109_s_at + 212146_at + 213521_at + 217092_x_at + 35685_at + 43544_at,1.0,0.9888231426692965,0.9822212467076383,0.9630158033362599,0.9630158033362599,0.9629629629629629,1.0,0.9358974358974359,0.9629629629629629
Highest Precision,200082_s_at + 208703_s_at + 209109_s_at + 212146_at + 213521_at + 217092_x_at + 35685_at + 43544_at,1.0,0.9888231426692965,0.9822212467076383,0.9630158033362599,0.9630158033362599,0.9629629629629629,1.0,0.9358974358974359,0.9629629629629629
Highest F1-score,200082_s_at + 208703_s_at + 209109_s_at + 212146_at + 213521_at + 217092_x_at + 35685_at + 43544_at,1.0,0.9888231426692965,0.9822212467076383,0.9630158033362599,0.9630158033362599,0.9629629629629629,1.0,0.9358974358974359,0.9629629629629629
Highest Train Accuracy,200082_s_at,1.0,0.688034188034188,0.7024802458296753,0.6006365232660228,0.6036392405063291,0.597326557666814,1.0,0.6153846153846154,0.6
Highest CV Accuracy,200082_s_at + 209109_s_at + 212146_at + 217092_x_at + 35685_at + 43544_at,1.0,0.9773175542406312,0.985513608428446,0.911215978928885,0.9113965744400527,0.9111062335381914,1.0,0.9615384615384616,0.9111111111111111
Highest Test Accuracy,200082_s_at + 208703_s_at + 209109_s_at + 212146_at + 213521_at + 217092_x_at + 35685_at + 43544_at,1.0,0.9888231426692965,0.9822212467076383,0.9630158033362599,0.9630158033362599,0.9629629629629629,1.0,0.9358974358974359,0.9629629629629629
