genes,train_auc,cv_auc,test_auc,recall,precision,f1,train_acc,cv_acc,test_acc
201270_x_at,0.9999999999999999,0.6280081925243216,0.645056,0.5880000000000001,0.588962215320911,0.5868829314466317,1.0,0.616,0.588
207033_at,0.9996457288014612,0.519457245263697,0.5493119999999999,0.52,0.52,0.52,0.997709049255441,0.48,0.52
208772_at,1.0,0.46351766513056836,0.626848,0.592,0.5920235580308559,0.591973886328725,0.997709049255441,0.448,0.592
201270_x_at + 207033_at,0.9999999999999999,0.7944188428059396,0.73872,0.6599999999999999,0.6612487100103199,0.6593404831754277,1.0,0.736,0.66
201270_x_at + 208772_at,1.0,0.8029953917050693,0.745632,0.692,0.6930005146680391,0.6916003140069531,1.0,0.784,0.692
207033_at + 208772_at,1.0,0.6913722478238609,0.7400000000000001,0.656,0.6561599077455315,0.6559119134498432,1.0,0.688,0.656
201270_x_at + 207033_at + 208772_at,1.0,0.8942652329749105,0.8317760000000001,0.756,0.7579979360165119,0.7555266996906009,1.0,0.808,0.756
