genes,train_auc,cv_auc,test_auc,recall,precision,f1,train_acc,cv_acc,test_acc
201270_x_at,0.9994200449268363,0.6330005120327701,0.641984,0.5920000000000001,0.5928557586719204,0.5910577971646673,0.9873997709049256,0.616,0.592
207033_at,0.9993911783847333,0.4979518689196109,0.546816,0.504,0.504001024262211,0.503968253968254,0.9862542955326461,0.48,0.504
208772_at,0.9991838641278106,0.4907834101382489,0.626784,0.6,0.6000256065552783,0.5999743983614951,0.9851088201603666,0.432,0.6
201270_x_at + 207033_at,0.9999606365334957,0.8014592933947773,0.735552,0.6839999999999999,0.6849588265568709,0.6835899325525883,0.9988545246277205,0.728,0.684
201270_x_at + 208772_at,0.9999658849956963,0.7990271377368152,0.738784,0.6799999999999999,0.6801845089371517,0.67991805902311,0.9965635738831615,0.76,0.68
207033_at + 208772_at,0.9999947515377994,0.7043010752688174,0.7263039999999998,0.66,0.6602564102564102,0.6598639455782312,0.9988545246277205,0.68,0.66
201270_x_at + 207033_at + 208772_at,0.9999947515377995,0.8851766513056835,0.8275199999999999,0.76,0.7610693400167085,0.7597539880837978,0.9988545246277205,0.808,0.76
