genes,train_auc,cv_auc,test_auc,recall,precision,f1,train_acc,cv_acc,test_acc
201270_x_at,1.0,0.6285202252944189,0.643296,0.5880000000000001,0.588962215320911,0.5868829314466317,1.0,0.616,0.588
207033_at,0.9997218315033695,0.522273425499232,0.5481279999999998,0.512,0.512,0.512,0.9988545246277205,0.48,0.512
208772_at,1.0,0.4699180747567843,0.6246399999999999,0.588,0.5880056323604711,0.5879934078945264,1.0,0.432,0.588
201270_x_at + 207033_at,1.0,0.7955709165386584,0.7415040000000002,0.6679999999999999,0.6698369565217391,0.6670998379618488,1.0,0.72,0.668
201270_x_at + 208772_at,1.0,0.7982590885816692,0.7476480000000001,0.692,0.6934984520123839,0.6914025553471521,1.0,0.776,0.692
207033_at + 208772_at,1.0,0.6961085509472607,0.7409919999999999,0.656,0.6563602540252742,0.6558017418032787,1.0,0.688,0.656
201270_x_at + 207033_at + 208772_at,1.0,0.8919610855094726,0.830848,0.756,0.7620545073375262,0.7545824683371152,1.0,0.832,0.756
