209651_at	209895_at	216014_s_at	characteristics_ch1.14
-0.784613594748808	-0.320097223773295	1.1144206396012	0
0.360683570552472	-0.132811831069941	0.743037533698401	0
1.52339117971934	-0.921405449054606	-1.47919422914722	0
0.0713984451639706	-0.0655767607148151	-0.143930032355941	0
-1.80331888034908	0.648794255035966	-1.76524995533525	0
-0.963400552415339	1.36391081318735	-0.131980364257465	0
0.379684823756768	-2.40959805991465	-0.576710502269231	0
0.308823476139585	-0.12922551503945	0.533465819242108	0
1.21810660179302	-0.190851021539	1.58601068626565	0
1.49957834457718	0.479525280068578	0.303530581806697	0
-2.14352005559304	1.20841894761594	-0.700824449104681	0
-0.250004497210624	0.0375960241852668	-0.653777424639927	0
1.22628252070974	1.37167473749708	-0.126603780600829	0
1.29908561281602	0.232676191228724	-2.23161681587964	0
0.999666872423958	-0.188413869139785	0.207963916526161	0
-0.909381191725935	-0.215181412157317	2.07717425859591	0
-0.068133080598392	-0.156833721384561	1.51942848551924	0
-1.25052931181782	0.855404620930137	0.112343562107826	0
-1.7337757147637	-0.182531796682609	-0.0427413473602699	0
0.588733412490022	0.926557645142226	-0.121089139161285	0
0.241915224472558	-0.801717614563223	0.0960757533550166	1
0.0683922940617413	0.162263567745509	-0.164362584226517	0
-0.0114715552643853	0.240730619991108	-0.695639612368752	0
-1.36518504597013	-0.44014497528566	0.485751515493294	0
0.198779203880709	-0.546418188237906	-0.0476270588998878	0
0.346489548850292	-0.388031561483467	1.8550162762644	0
1.68655427246767	0.872557237815749	-0.388092891307843	0
-0.238905085470894	0.692873806762687	0.141826568635786	0
1.72076609919406	-1.15415093234373	-1.25364616125759	0
0.0760940154818754	-0.788135888692916	0.540805891366789	0
0.793683890748165	-0.471794535609213	-1.61837181407343	0
0.421193781378671	0.445484842391363	-0.00943874217181731	0
0.0686576706424009	-0.752370420150857	0.353400120944264	0
-1.50950205105587	-1.31943511172169	0.522643623037386	0
0.139202886595192	-1.76517691719153	-1.11738312952612	0
-0.20670461020558	-0.213325268663402	-0.221204041401002	0
0.853880870200471	-1.17733987183837	0.284670354685924	0
-0.0236948295724847	1.1344945623423	0.592592899711424	0
-2.29329540739793	-0.836511307148634	-0.551959809744329	0
-0.667946509135432	-0.81704750882115	-0.280752965095872	0
0.585313969991682	0.141974531105635	1.27296466351886	0
-0.962404302628927	-0.464010044612567	2.31436519951089	1
1.4874464294198	-1.70739738114475	-0.790508318857919	1
1.60929053357392	0.267765529938513	-0.956001251182006	1
-0.0656257794619934	-0.189308520020509	-0.577431470691096	1
0.562540888993417	-2.81707811521834	0.423985997395051	1
0.434187082814258	-0.165484584067426	1.85941111568701	0
0.840140743961387	0.663964757470316	-1.24731084299742	0
-1.19163311265433	-0.781989020141734	0.542186469195878	0
-1.12450733919987	1.13555631755419	0.530658644322956	0
-0.00634094137162807	0.445256037999454	-0.836174765493572	0
-0.67669668557096	-0.212268655123234	0.330889032453223	1
0.542897221443589	1.66938267223743	-0.650479377603763	0
0.385148971056913	-0.681240533461544	0.281648423215576	0
0.38907306410208	1.38761906152654	-2.31967467174528	0
-1.06293707219628	1.85666806494078	-0.562490550629577	0
0.182398363142271	-0.611059285206103	1.17032637180264	0
-1.55684929345229	0.506485635775921	0.902785728278097	0
-1.48140403670141	0.786210573646531	-0.00778204877690596	1
-0.795325817706921	0.206178585976926	0.302817283261669	0
1.26667921692528	-0.227716807830915	-0.938299175462303	0
0.533493029500533	1.94302501245345	-0.373619833732853	0
-0.257556853670059	2.54681666517954	-1.04678958319852	0
0.495009074869103	0.0118131113037021	1.62656132505684	1
