genes,train_auc,cv_auc,test_auc,recall,precision,f1,train_acc,cv_acc,test_acc
201270_x_at,1.0,0.630568356374808,0.644768,0.5880000000000001,0.588962215320911,0.5868829314466317,1.0,0.616,0.588
207033_at,0.9996116137971575,0.5235535074244753,0.5525119999999999,0.516,0.5160010240655402,0.515992255876094,0.9988545246277205,0.48,0.516
208772_at,1.0,0.4690220174091141,0.62464,0.588,0.5880056323604711,0.5879934078945264,1.0,0.432,0.588
201270_x_at + 207033_at,0.9999999999999999,0.7956989247311829,0.743488,0.6679999999999999,0.6698369565217391,0.6670998379618488,1.0,0.712,0.668
201270_x_at + 208772_at,1.0,0.7964669738863288,0.7503040000000001,0.696,0.6972624798711755,0.6955128205128205,1.0,0.76,0.696
207033_at + 208772_at,1.0,0.6961085509472607,0.7432639999999998,0.656,0.6563602540252742,0.6558017418032787,1.0,0.696,0.656
201270_x_at + 207033_at + 208772_at,1.0,0.894521249359959,0.831648,0.764,0.7702437106918238,0.7626289447850786,1.0,0.84,0.764
