genes,train_auc,cv_auc,test_auc,recall,precision,f1,train_acc,cv_acc,test_acc
201270_x_at,1.0,0.5980542754736303,0.536928,0.472,0.4719928301645221,0.4719662058371735,1.0,0.56,0.472
204933_s_at,1.0,0.6112391193036354,0.563808,0.524,0.5240384615384616,0.5238095238095237,1.0,0.568,0.524
220483_s_at,0.9999973757688998,0.623399897593446,0.5791040000000001,0.528,0.5280287013902236,0.5278791370590872,0.9988545246277205,0.568,0.528
201270_x_at + 204933_s_at,1.0,0.7748335893497184,0.729728,0.648,0.6481517073483247,0.6479098649254209,1.0,0.688,0.648
201270_x_at + 220483_s_at,1.0,0.8228366615463389,0.7680640000000001,0.692,0.6923076923076923,0.6918767507002801,1.0,0.744,0.692
204933_s_at + 220483_s_at,1.0,0.7606246799795187,0.714752,0.616,0.6221278889562698,0.6111219132801866,1.0,0.72,0.616
201270_x_at + 204933_s_at + 220483_s_at,1.0,0.8727598566308242,0.85344,0.752,0.7552012444098775,0.7512198253723678,1.0,0.816,0.752
