genes,train_auc,cv_auc,test_auc,recall,precision,f1,train_acc,cv_acc,test_acc
201270_x_at,0.9978822455020678,0.6129032258064517,0.637696,0.616,0.6164770901613007,0.6156063809340765,0.97709049255441,0.616,0.616
207033_at,0.9983388617135179,0.4989759344598055,0.548672,0.516,0.5160010240655402,0.515992255876094,0.97709049255441,0.48,0.516
208772_at,0.9977169189427497,0.4740143369175628,0.621184,0.592,0.5920943045678775,0.5918955252544651,0.9702176403207331,0.44,0.592
201270_x_at + 207033_at,0.9998215522851804,0.7896825396825398,0.7394239999999999,0.676,0.6760112647209422,0.6759948159170546,0.9919816723940436,0.736,0.676
201270_x_at + 208772_at,0.9996693468813638,0.7868663594470047,0.7374719999999999,0.672,0.672,0.672,0.9873997709049256,0.72,0.672
207033_at + 208772_at,0.9998976549870888,0.6863799283154122,0.7206079999999999,0.656,0.6560399462262338,0.6559779825908858,0.995418098510882,0.656,0.656
201270_x_at + 207033_at + 208772_at,0.999963260764596,0.8681515616999489,0.815328,0.76,0.7606004233754571,0.7598616803278688,0.9965635738831615,0.792,0.76
