genes,train_auc,cv_auc,test_auc,recall,precision,f1,train_acc,cv_acc,test_acc
201270_x_at,1.0,0.6391449052739375,0.646976,0.5880000000000001,0.588962215320911,0.5868829314466317,1.0,0.616,0.588
207033_at,0.9997428253521717,0.5241935483870968,0.550464,0.516,0.5160010240655402,0.515992255876094,0.9988545246277205,0.48,0.516
208772_at,1.0,0.4639016897081413,0.6215999999999999,0.588,0.5880056323604711,0.5879934078945264,1.0,0.432,0.588
201270_x_at + 207033_at,1.0,0.7864823348694316,0.740384,0.6639999999999999,0.6655254828499451,0.6632240682532555,1.0,0.696,0.664
201270_x_at + 208772_at,1.0,0.7949308755760368,0.7542720000000002,0.696,0.6972624798711755,0.6955128205128205,1.0,0.736,0.696
207033_at + 208772_at,0.9999999999999999,0.6987967229902714,0.740832,0.6639999999999999,0.6650563607085347,0.6634615384615385,1.0,0.696,0.664
201270_x_at + 207033_at + 208772_at,1.0,0.8908090117767539,0.839872,0.784,0.7887305615199427,0.7831116252168884,1.0,0.8,0.784
