genes,train_auc,cv_auc,test_auc,recall,precision,f1,train_acc,cv_acc,test_acc
201270_x_at,1.0,0.5974142345110087,0.5364800000000001,0.472,0.4719928301645221,0.4719662058371735,1.0,0.56,0.472
204933_s_at,1.0,0.6107270865335381,0.564928,0.524,0.5240384615384616,0.5238095238095237,1.0,0.568,0.524
220483_s_at,0.9999973757688997,0.6236559139784945,0.5797760000000001,0.528,0.5280287013902236,0.5278791370590872,0.9988545246277205,0.568,0.528
201270_x_at + 204933_s_at,0.9999999999999999,0.7735535074244752,0.7280319999999999,0.648,0.6481517073483247,0.6479098649254209,1.0,0.688,0.648
201270_x_at + 220483_s_at,1.0,0.8219406041986687,0.768032,0.692,0.6923076923076923,0.6918767507002801,1.0,0.752,0.692
204933_s_at + 220483_s_at,1.0,0.7620327700972862,0.71536,0.624,0.631578947368421,0.6185064935064934,1.0,0.72,0.624
201270_x_at + 204933_s_at + 220483_s_at,1.0,0.8737839221710189,0.853408,0.756,0.7587991718426501,0.7553384351285877,1.0,0.816,0.756
