genes,train_auc,cv_auc,test_auc,recall,precision,f1,train_acc,cv_acc,test_acc
201270_x_at,1.0,0.6278801843317973,0.642976,0.5880000000000001,0.588962215320911,0.5868829314466317,1.0,0.616,0.588
207033_at,0.9996667226502635,0.5203533026113671,0.546784,0.516,0.5160010240655402,0.515992255876094,0.997709049255441,0.48,0.516
208772_at,1.0,0.4624935995903738,0.6248959999999999,0.592,0.5920235580308559,0.591973886328725,0.997709049255441,0.448,0.592
201270_x_at + 207033_at,1.0,0.7937788018433181,0.739808,0.6679999999999999,0.6693111455108359,0.6673560012183588,1.0,0.728,0.668
201270_x_at + 208772_at,1.0,0.7978750640040962,0.7434560000000001,0.692,0.6934984520123839,0.6914025553471521,1.0,0.776,0.692
207033_at + 208772_at,1.0,0.6955965181771633,0.7418239999999999,0.6599999999999999,0.6605033384694401,0.6597332308529887,1.0,0.696,0.66
201270_x_at + 207033_at + 208772_at,1.0,0.8943932411674347,0.8320960000000001,0.768,0.772464051011777,0.7670458196773986,1.0,0.816,0.768
