genes,train_auc,cv_auc,test_auc,recall,precision,f1,train_acc,cv_acc,test_acc
201270_x_at,1.0,0.6359447004608294,0.645984,0.5880000000000001,0.588962215320911,0.5868829314466317,1.0,0.616,0.588
207033_at,0.9997165830411691,0.5252176139272913,0.550624,0.516,0.5160010240655402,0.515992255876094,0.9988545246277205,0.48,0.516
208772_at,1.0,0.4639016897081414,0.6214720000000001,0.588,0.5880056323604711,0.5879934078945264,1.0,0.432,0.588
201270_x_at + 207033_at,1.0,0.7868663594470046,0.7408,0.6679999999999999,0.6693111455108359,0.6673560012183588,1.0,0.704,0.668
201270_x_at + 208772_at,1.0,0.7950588837685612,0.7548480000000002,0.692,0.6930005146680391,0.6916003140069531,1.0,0.736,0.692
207033_at + 208772_at,1.0,0.6980286738351255,0.7397760000000001,0.6679999999999999,0.6693111455108359,0.6673560012183588,1.0,0.704,0.668
201270_x_at + 207033_at + 208772_at,1.0,0.8910650281618024,0.840032,0.78,0.7852764736567553,0.7789779942453907,1.0,0.8,0.78
