genes,train_auc,cv_auc,test_auc,recall,precision,f1,train_acc,cv_acc,test_acc
201270_x_at,1.0,0.6404249871991807,0.6441279999999999,0.5880000000000001,0.588962215320911,0.5868829314466317,1.0,0.616,0.588
207033_at,0.9996745953435644,0.5267537122375832,0.5505599999999999,0.516,0.5160010240655402,0.515992255876094,0.9988545246277205,0.48,0.516
208772_at,1.0,0.4650537634408602,0.62208,0.588,0.5880056323604711,0.5879934078945264,1.0,0.432,0.588
201270_x_at + 207033_at,1.0,0.7882744495647722,0.741824,0.6759999999999999,0.6773735810113519,0.6753715192612899,1.0,0.704,0.676
201270_x_at + 208772_at,1.0,0.797363031233999,0.7553920000000002,0.696,0.6972624798711755,0.6955128205128205,1.0,0.736,0.696
207033_at + 208772_at,1.0,0.6993087557603688,0.7403839999999999,0.6559999999999999,0.6570048309178744,0.655448717948718,1.0,0.696,0.656
201270_x_at + 207033_at + 208772_at,1.0,0.8900409626216077,0.837504,0.772,0.7771257172665623,0.7709408303997686,1.0,0.8,0.772
