202730_s_at	202731_at	202833_s_at	205034_at	209172_s_at	209539_at	213037_x_at	218356_at	218883_s_at	221521_s_at	characteristics_ch1.10
0.349019509972877	1.0083571484613	-0.570751212589943	-0.0746574163356536	-0.531322796786112	-0.855863348107604	0.785024000083106	0.181060661017583	0.702760890260625	-0.804025434103669	0
0.00827125014813673	0.0603714869363174	1.66652492009878	-0.274408349804255	-0.0430970650385732	-1.16535201777813	-0.542954780216049	-0.231992870102756	0.139288602618609	-0.569195531842539	1
0.8134083136148	0.960614555873785	0.154299687747223	-0.326275768195213	-1.30930399711025	0.169651290771885	-0.935218082259779	0.550077846605151	-0.285894866598805	-0.971306743298947	0
-1.21406312156212	-1.62300105793244	0.621596422915704	1.08065768517912	-0.0562794474621523	-1.68438518943929	2.67713177517113	0.280948517810933	1.36781816030041	2.37599751311197	0
-0.171938704502663	0.348126446573789	-1.01851975327626	0.324602513821513	0.248032499333027	2.27051268679682	3.85763588826858	0.736217292970633	0.0769371369098351	2.25985891409911	0
-0.0525334024086273	0.365905986527762	0.000415053190112101	2.65012754787953	0.580449173740169	0.552282178677241	0.443395489797706	1.10268977514289	0.404949658354277	1.78186250348535	0
-0.837269180695626	-0.698387308490655	-0.597543741873034	0.809542235972577	2.05753233142464	-0.423349312820776	-1.43883778830487	0.827677056862094	1.38825155025014	-0.594878031995789	0
-1.61389677740255	-1.64322589001351	-0.847019636297365	-0.0927493667341865	1.07498960181392	-1.70135164136185	-0.0595290749279324	1.44936547646705	-0.276158646684777	-0.268362897247753	0
1.71307764966557	1.61456297697888	-1.15383850592415	1.11741977387423	1.28774822695076	-1.55893958577269	-0.185370013535319	0.466912012341302	1.50250840238417	0.693887463616577	0
-1.46801827922279	-1.87362431144719	-1.09200760667968	0.66870085813075	-1.65891362622069	0.696308212291516	-0.644631559484691	-0.709517353006244	0.507194047306842	2.51808013007112	0
-0.688522459408312	-1.09924525308281	1.40297040596915	2.52328023079474	0.104230022933092	-1.39772986200122	-1.9239911669978	-0.944043554027656	-0.187177481389501	-0.603322150957755	0
-0.861840291983702	-0.469383324944093	-0.0611259609739188	2.00044254726942	1.69470121960377	0.778905396644565	2.47889434040332	-0.602485851707329	-0.434984107331028	2.08160257485587	0
0.131257637817984	-0.128160901577017	2.40455247973276	-0.640086908142808	-0.468527736105652	-0.136498616769003	-0.943798278462151	-0.75756979917546	0.166059100757736	0.227483555617676	0
-0.780761830829834	-0.448021742711269	-1.07963123452431	0.517591519319311	0.261636606279055	-1.34827973311429	-0.0481915817764615	0.0361995151694878	2.10015015210577	-0.891322979173998	0
1.19434356609098	1.13067201306217	-0.182743341623914	-0.976894344063879	-0.505762380697001	2.37740410406088	-0.361534530004888	-0.398447704915032	-0.720895514898008	-1.33480049398297	0
0.857929510073218	0.585251248929569	0.929222735003959	-1.00241525717139	-1.3853261262564	0.628990603099449	-0.777394825875687	-1.5279463170422	-1.31664939069315	-1.55240218518922	0
