genes,train_auc,cv_auc,test_auc,recall,precision,f1,train_acc,cv_acc,test_acc
201270_x_at,1.0,0.5986943164362518,0.5372800000000001,0.472,0.4719928301645221,0.4719662058371735,1.0,0.56,0.472
204933_s_at,1.0,0.610727086533538,0.56384,0.524,0.5240384615384616,0.5238095238095237,1.0,0.568,0.524
220483_s_at,0.9999973757688997,0.623015873015873,0.5806399999999999,0.528,0.5280287013902236,0.5278791370590872,0.9988545246277205,0.568,0.528
201270_x_at + 204933_s_at,1.0,0.7743215565796211,0.7288319999999999,0.648,0.6481517073483247,0.6479098649254209,1.0,0.688,0.648
201270_x_at + 220483_s_at,1.0,0.823220686123912,0.7680959999999999,0.696,0.6964526268522677,0.6958247950819672,1.0,0.744,0.696
204933_s_at + 220483_s_at,0.9999999999999999,0.7612647209421404,0.716672,0.628,0.6363884342607746,0.622190805830449,1.0,0.72,0.628
201270_x_at + 204933_s_at + 220483_s_at,0.9999999999999999,0.8742959549411162,0.8537600000000001,0.756,0.7587991718426501,0.7553384351285877,1.0,0.816,0.756
