genes,train_auc,cv_auc,test_auc,recall,precision,f1,train_acc,cv_acc,test_acc
201270_x_at,0.9999763819200974,0.6295442908346134,0.6411840000000001,0.5920000000000001,0.5928557586719204,0.5910577971646673,0.9965635738831615,0.608,0.592
207033_at,0.9997060861167678,0.5090885816692269,0.550208,0.512,0.5120030727866334,0.5119687660010241,0.9965635738831615,0.48,0.512
208772_at,0.9999895030755988,0.46415770609319,0.6272960000000001,0.588,0.5880507172131147,0.5879406634555375,0.9942726231386025,0.448,0.588
201270_x_at + 207033_at,1.0,0.7958269329237071,0.7407680000000001,0.6799999999999999,0.6807403123192597,0.6796719841117305,1.0,0.72,0.68
201270_x_at + 208772_at,1.0,0.8019713261648745,0.747648,0.688,0.6892109500805152,0.6875,1.0,0.768,0.688
207033_at + 208772_at,1.0,0.6902201740911419,0.740384,0.644,0.6442307692307692,0.6438575430172069,1.0,0.696,0.644
201270_x_at + 207033_at + 208772_at,1.0,0.8867127496159755,0.832672,0.772,0.7749741200828157,0.7713818164316312,1.0,0.808,0.772
