genes,train_auc,cv_auc,test_auc,recall,precision,f1,train_acc,cv_acc,test_acc
201270_x_at,1.0,0.6390168970814132,0.6430400000000001,0.5880000000000001,0.588962215320911,0.5868829314466317,1.0,0.616,0.588
207033_at,0.9997113345789683,0.5273937532002048,0.548832,0.516,0.5160010240655402,0.515992255876094,0.9988545246277205,0.48,0.516
208772_at,0.9999999999999999,0.45762928827444954,0.622208,0.588,0.5880056323604711,0.5879934078945264,1.0,0.432,0.588
201270_x_at + 207033_at,1.0,0.7895545314900153,0.741792,0.6679999999999999,0.6693111455108359,0.6673560012183588,1.0,0.704,0.668
201270_x_at + 208772_at,1.0,0.7954429083461342,0.7516160000000001,0.704,0.7053140096618358,0.703525641025641,1.0,0.752,0.704
207033_at + 208772_at,1.0,0.6959805427547363,0.7414399999999999,0.6559999999999999,0.656641604010025,0.6556473829201102,1.0,0.696,0.656
201270_x_at + 207033_at + 208772_at,1.0,0.8864567332309267,0.8356799999999999,0.772,0.775974025974026,0.7711762344439984,1.0,0.8,0.772
