genes,train_auc,cv_auc,test_auc,recall,precision,f1,train_acc,cv_acc,test_acc
201270_x_at,0.9998687884449855,0.6306963645673322,0.6396160000000001,0.5920000000000001,0.5928557586719204,0.5910577971646673,0.995418098510882,0.608,0.592
207033_at,0.9997402011210715,0.49935995903737834,0.545248,0.512,0.5120030727866334,0.5119687660010241,0.995418098510882,0.48,0.512
208772_at,0.9999186488358911,0.4705581157194061,0.630144,0.596,0.5960061443932412,0.5959935358965743,0.993127147766323,0.44,0.596
201270_x_at + 207033_at,1.0,0.7992831541218639,0.7461439999999999,0.7,0.7015608875128999,0.6994180733900832,1.0,0.728,0.7
201270_x_at + 208772_at,1.0,0.8044034818228366,0.7468800000000001,0.692,0.6934984520123839,0.6914025553471521,1.0,0.768,0.692
207033_at + 208772_at,1.0,0.6912442396313364,0.736192,0.648,0.6481517073483247,0.6479098649254209,1.0,0.68,0.648
201270_x_at + 207033_at + 208772_at,0.9999999999999999,0.8865847414234511,0.831424,0.768,0.7714044980232031,0.7672701592193117,1.0,0.832,0.768
