genes,train_auc,cv_auc,test_auc,recall,precision,f1,train_acc,cv_acc,test_acc
201270_x_at,1.0,0.5969022017409114,0.537088,0.472,0.4719928301645221,0.4719662058371735,1.0,0.56,0.472
204933_s_at,1.0,0.6116231438812084,0.563648,0.524,0.5240384615384616,0.5238095238095237,1.0,0.568,0.524
220483_s_at,0.9999973757688997,0.6253200204813107,0.579264,0.528,0.5280287013902236,0.5278791370590872,0.9988545246277205,0.568,0.528
201270_x_at + 204933_s_at,1.0,0.7744495647721454,0.730016,0.648,0.6481517073483247,0.6479098649254209,1.0,0.688,0.648
201270_x_at + 220483_s_at,1.0,0.8225806451612903,0.767072,0.692,0.6923076923076923,0.6918767507002801,1.0,0.752,0.692
204933_s_at + 220483_s_at,1.0,0.7597286226318485,0.71392,0.628,0.6333333333333333,0.6242424242424243,1.0,0.72,0.628
201270_x_at + 204933_s_at + 220483_s_at,1.0,0.873783922171019,0.85248,0.76,0.7624184484206447,0.7594457630380396,1.0,0.816,0.76
