genes,train_auc,cv_auc,test_auc,recall,precision,f1,train_acc,cv_acc,test_acc
201270_x_at,1.0,0.5981822836661546,0.537888,0.472,0.4719928301645221,0.4719662058371735,1.0,0.56,0.472
204933_s_at,1.0,0.6099590373783922,0.563776,0.524,0.5240384615384616,0.5238095238095237,1.0,0.568,0.524
220483_s_at,0.9999973757688997,0.6233998975934458,0.5806399999999999,0.528,0.5280287013902236,0.5278791370590872,0.9988545246277205,0.568,0.528
201270_x_at + 204933_s_at,1.0,0.7739375320020481,0.7293440000000001,0.648,0.6481517073483247,0.6479098649254209,1.0,0.688,0.648
201270_x_at + 220483_s_at,1.0,0.822836661546339,0.76656,0.696,0.6964526268522677,0.6958247950819672,1.0,0.744,0.696
204933_s_at + 220483_s_at,1.0,0.7608806963645673,0.71648,0.624,0.631578947368421,0.6185064935064934,1.0,0.72,0.624
201270_x_at + 204933_s_at + 220483_s_at,1.0,0.8745519713261649,0.853632,0.76,0.7624184484206447,0.7594457630380396,1.0,0.832,0.76
