genes,train_auc,cv_auc,test_auc,recall,precision,f1,train_acc,cv_acc,test_acc
201270_x_at,0.9997034618856675,0.6276241679467486,0.644576,0.5880000000000001,0.588962215320911,0.5868829314466317,0.993127147766323,0.608,0.588
207033_at,0.9997244557344698,0.49372759856630827,0.5445439999999999,0.516,0.5160010240655402,0.515992255876094,0.993127147766323,0.48,0.516
208772_at,0.9996562257258623,0.4827188940092166,0.6289919999999999,0.592,0.5920235580308559,0.591973886328725,0.9896907216494846,0.432,0.592
201270_x_at + 207033_at,1.0,0.7982590885816692,0.744,0.692,0.6926040061633282,0.6917583385374133,0.9988545246277205,0.736,0.692
201270_x_at + 208772_at,1.0,0.7962109575012801,0.7448640000000001,0.692,0.6930005146680391,0.6916003140069531,0.9988545246277205,0.752,0.692
207033_at + 208772_at,1.0,0.701868919610855,0.7310719999999999,0.648,0.6481517073483247,0.6479098649254209,1.0,0.672,0.648
201270_x_at + 207033_at + 208772_at,1.0,0.8826164874551972,0.8300799999999999,0.768,0.7691022427864533,0.7677621884810046,1.0,0.824,0.768
