genes,train_auc,cv_auc,test_auc,recall,precision,f1,train_acc,cv_acc,test_acc
201270_x_at,1.0,0.6410650281618024,0.6448320000000001,0.5880000000000001,0.588962215320911,0.5868829314466317,1.0,0.616,0.588
207033_at,0.9997060861167678,0.5271377368151562,0.549504,0.516,0.5160010240655402,0.515992255876094,0.9988545246277205,0.48,0.516
208772_at,1.0,0.4645417306707629,0.622528,0.588,0.5880056323604711,0.5879934078945264,1.0,0.432,0.588
201270_x_at + 207033_at,1.0,0.7882744495647722,0.740736,0.6719999999999999,0.6731078904991948,0.671474358974359,1.0,0.712,0.672
201270_x_at + 208772_at,1.0,0.7949308755760368,0.7548160000000002,0.696,0.6972624798711755,0.6955128205128205,1.0,0.736,0.696
207033_at + 208772_at,1.0,0.6972606246799795,0.7408319999999999,0.6559999999999999,0.6570048309178744,0.655448717948718,1.0,0.696,0.656
201270_x_at + 207033_at + 208772_at,0.9999999999999999,0.8906810035842294,0.8372160000000001,0.772,0.7771257172665623,0.7709408303997686,1.0,0.808,0.772
