genes,train_auc,cv_auc,test_auc,recall,precision,f1,train_acc,cv_acc,test_acc
201270_x_at,1.0,0.6386328725038403,0.6430720000000001,0.5880000000000001,0.588962215320911,0.5868829314466317,1.0,0.616,0.588
207033_at,0.9997848130497765,0.5268817204301075,0.5499839999999999,0.516,0.5160010240655402,0.515992255876094,0.9988545246277205,0.48,0.516
208772_at,0.9999999999999999,0.46377368151561704,0.621408,0.588,0.5880056323604711,0.5879934078945264,1.0,0.432,0.588
201270_x_at + 207033_at,1.0,0.789810547875064,0.7413439999999999,0.6719999999999999,0.6735998966475034,0.6712425428186541,1.0,0.712,0.672
201270_x_at + 208772_at,1.0,0.7935227854582694,0.752704,0.696,0.6972624798711755,0.6955128205128205,1.0,0.736,0.696
207033_at + 208772_at,1.0,0.6976446492575525,0.741568,0.6599999999999999,0.6605033384694401,0.6597332308529887,1.0,0.704,0.66
201270_x_at + 207033_at + 208772_at,1.0,0.8908090117767538,0.835424,0.768,0.7736749232076334,0.7667910447761195,1.0,0.8,0.768
