genes,train_auc,cv_auc,test_auc,recall,precision,f1,train_acc,cv_acc,test_acc
201270_x_at,1.0,0.6406810035842293,0.6450560000000001,0.5880000000000001,0.588962215320911,0.5868829314466317,1.0,0.616,0.588
207033_at,0.9997375768899712,0.5256016385048643,0.5504,0.516,0.5160010240655402,0.515992255876094,0.9988545246277205,0.48,0.516
208772_at,1.0,0.4642857142857143,0.6225919999999999,0.588,0.5880056323604711,0.5879934078945264,1.0,0.432,0.588
201270_x_at + 207033_at,1.0,0.7880184331797235,0.740256,0.6719999999999999,0.6731078904991948,0.671474358974359,1.0,0.704,0.672
201270_x_at + 208772_at,1.0,0.7948028673835125,0.75488,0.7,0.7015608875128999,0.6994180733900832,1.0,0.736,0.7
207033_at + 208772_at,1.0,0.6993087557603687,0.740672,0.6639999999999999,0.6655254828499451,0.6632240682532555,1.0,0.704,0.664
201270_x_at + 207033_at + 208772_at,1.0,0.891321044546851,0.8383359999999999,0.78,0.7840909090909092,0.779205138498595,1.0,0.8,0.78
