genes,train_auc,cv_auc,test_auc,recall,precision,f1,train_acc,cv_acc,test_acc
201270_x_at,1.0,0.6414490527393754,0.646592,0.5880000000000001,0.588962215320911,0.5868829314466317,1.0,0.616,0.588
207033_at,0.9997165830411691,0.5188172043010753,0.550016,0.516,0.5160010240655402,0.515992255876094,0.9988545246277205,0.48,0.516
208772_at,0.9999999999999999,0.4703020993343574,0.623072,0.588,0.5880056323604711,0.5879934078945264,1.0,0.432,0.588
201270_x_at + 207033_at,1.0,0.7884024577572966,0.7432639999999999,0.6559999999999999,0.6574510690523868,0.6552055936878568,1.0,0.712,0.656
201270_x_at + 208772_at,1.0,0.8008192524321557,0.7542400000000001,0.688,0.6892109500805152,0.6875,1.0,0.744,0.688
207033_at + 208772_at,1.0,0.6985407066052227,0.738592,0.6639999999999999,0.6650563607085347,0.6634615384615385,1.0,0.688,0.664
201270_x_at + 207033_at + 208772_at,1.0,0.8900409626216078,0.835328,0.772,0.779899894625922,0.7703797998678676,1.0,0.808,0.772
